Córrego;Altitude;Profundidade;Largura;Velocidade;Oxigênio;pH;Condutividade;Temperatura;Integridade Ambiental
#01;-2.953959379;1.991437558;0.646157909;2.476631491;0.878443002;-0.013485534;-1.946763096;-1.932324213;-2.157061802
#01;-2.953959379;0.511766561;0.666674806;0.660958098;0.878443002;-0.013485534;-1.946763096;-1.932324213;-2.157061802
#01;-2.953959379;1.466393011;0.092201691;1.916238468;0.878443002;-0.013485534;-1.946763096;-1.932324213;-2.157061802
#01;-2.953959379;0.320841271;0.947072398;0.45921661;0.878443002;-0.013485534;-1.946763096;-1.932324213;-2.157061802
#01;-2.953959379;0.368572594;0.830809982;0.739413121;0.878443002;-0.013485534;-1.946763096;-1.932324213;-2.157061802
#01;-2.953959379;0.320841271;1.042817917;0.548879493;0.963909773;-0.041474378;-1.946763096;-1.813445206;-2.157061802
#01;-2.953959379;-0.586053856;0.899199638;-0.493451529;0.963909773;-0.041474378;-1.946763096;-1.813445206;-2.157061802
#01;-2.953959379;0.798154496;1.80878207;1.042025353;0.963909773;-0.041474378;-1.946763096;-1.813445206;-2.157061802
#01;-2.953959379;0.893617141;0.7077086;1.378261167;0.963909773;-0.041474378;-1.946763096;-1.813445206;-2.157061802
#01;-2.953959379;-1.063367081;1.28902068;-1.03142883;0.963909773;-0.041474378;-1.946763096;-1.813445206;-2.157061802
#01;-2.953959379;-0.347397243;1.152241367;-0.213255017;0.382735736;-0.097452067;-1.946763096;-1.6945662;-2.157061802
#02;0.089513921;-0.681516501;-0.967837984;-0.863310924;-1.753933516;-0.881139705;-1.947087349;0.683013928;0.22402719
#02;0.089513921;-0.576507591;-0.523305217;-0.728816598;-1.753933516;-0.881139705;-1.947087349;0.683013928;0.22402719
#02;0.089513921;-0.347397243;-1.166167988;-0.471035808;-1.753933516;-0.881139705;-1.947087349;0.683013928;0.22402719
#02;0.089513921;-1.101552139;-0.858414534;-1.367664644;-1.753933516;-0.881139705;-1.947087349;0.683013928;0.22402719
#02;0.089513921;-0.881988055;-0.837897637;-1.087468133;-1.753933516;-0.881139705;-1.947087349;0.683013928;0.22402719
#02;0.089513921;-0.958358171;-0.837897637;-1.210754598;-2.506041093;-1.412927746;-1.947087349;0.92077194;0.22402719
#02;0.089513921;0.702691851;-0.831058671;0.739413121;-2.506041093;-1.412927746;-1.947087349;0.92077194;0.22402719
#02;0.089513921;-0.967904436;-1.008871778;-0.975389528;-2.506041093;-1.412927746;-1.947087349;0.92077194;0.22402719
#02;0.089513921;-0.414221095;-1.220879714;-0.571906552;-2.506041093;-1.412927746;-1.947087349;0.92077194;0.22402719
#02;0.089513921;0.91270967;-0.872092465;0.997193911;-2.506041093;-1.412927746;-1.947087349;0.92077194;0.22402719
#02;0.089513921;-0.576507591;-1.275591439;-0.76244018;-3.788042645;-3.176224933;-1.947087349;1.158529953;0.22402719
#03;0.149189868;-0.299665921;-0.543822114;-0.358957203;0.895536356;-1.412927746;0.93195237;-1.219050174;-0.949448568
#03;0.149189868;-0.442859888;-0.359170042;-0.51586725;0.895536356;-1.412927746;0.93195237;-1.219050174;-0.949448568
#03;0.149189868;-0.223295805;-0.530144183;-0.213255017;0.895536356;-1.412927746;0.93195237;-1.219050174;-0.949448568
#03;0.149189868;-0.251934599;-0.454915561;-0.101176413;0.895536356;-1.412927746;0.93195237;-1.219050174;-0.949448568
#03;0.149189868;0.082184659;-0.509627286;0.055733633;0.895536356;-1.412927746;0.93195237;-1.219050174;-0.949448568
#03;0.149189868;-0.986996965;0.187947211;-1.154715295;0.553669276;-0.573262419;0.312629714;-0.149139117;-0.949448568
#03;0.149189868;-0.920173113;-0.359170042;-1.109883854;0.553669276;-0.573262419;0.312629714;-0.149139117;-0.949448568
#03;0.149189868;-0.299665921;-0.112967278;-0.437412227;0.553669276;-0.573262419;0.312629714;-0.149139117;-0.949448568
#03;0.149189868;-0.586053856;-0.290780385;-0.717608738;0.553669276;-0.573262419;0.312629714;-0.149139117;-0.949448568
#03;0.149189868;-1.015635758;0.105879623;-1.109883854;0.553669276;-0.573262419;0.312629714;-0.149139117;-0.949448568
#03;0.149189868;-0.920173113;-0.085611415;-0.997805249;0.416922444;-0.377340509;0.607699671;-0.624655143;-0.949448568
#05;0.208865815;-0.50968374;0.140074451;-0.605530133;0.878443002;0.994112859;0.80225129;-0.38689713;0.22402719
#05;0.208865815;1.323199044;0.680352737;1.501547631;0.878443002;0.994112859;0.80225129;-0.38689713;0.22402719
#05;0.208865815;1.323199044;0.153752382;1.557586934;0.878443002;0.994112859;0.80225129;-0.38689713;0.22402719
#05;0.208865815;0.511766561;-0.154001072;0.627334516;0.878443002;0.994112859;0.80225129;-0.38689713;0.22402719
#05;0.208865815;0.416303916;1.473672753;0.45921661;0.878443002;0.994112859;0.80225129;-0.38689713;0.22402719
#05;0.208865815;0.464035239;0.59828515;0.526463772;0.861349648;0.994112859;0.692005373;-0.030260111;0.22402719
#05;0.208865815;1.132273754;1.350571371;1.254974702;0.861349648;0.994112859;0.692005373;-0.030260111;0.22402719
#05;0.208865815;-0.681516501;0.016973069;-0.605530133;0.861349648;0.994112859;0.692005373;-0.030260111;0.22402719
#05;0.208865815;-0.681516501;1.213792058;-0.437412227;0.861349648;0.994112859;0.692005373;-0.030260111;0.22402719
#05;0.208865815;2.659676073;1.692519654;3.048232374;0.861349648;0.994112859;0.692005373;-0.030260111;0.22402719
#05;0.208865815;0.177647304;0.639318944;0.235059401;0.040868656;0.966124014;0.747128332;-0.030260111;0.22402719
#06;0.268541762;1.132273754;1.145402402;2.028317073;0.963909773;1.469923211;0.409905524;1.990682998;-0.488592634
#06;0.268541762;1.705049624;0.967589295;2.140395677;0.963909773;1.469923211;0.409905524;1.990682998;-0.488592634
#06;0.268541762;1.036811109;0.926555501;1.692081259;0.963909773;1.469923211;0.409905524;1.990682998;-0.488592634
#06;0.268541762;2.086900203;2.020790005;3.149103118;0.963909773;1.469923211;0.409905524;1.990682998;-0.488592634
#06;0.268541762;0.464035239;1.658324826;0.851491725;0.963909773;1.469923211;0.409905524;1.990682998;-0.488592634
#06;0.268541762;1.036811109;0.953911364;1.523963352;1.015189835;0.854168637;0.212111377;2.22844101;-0.488592634
#06;0.268541762;0.845885819;4.257131773;1.277390422;1.015189835;0.854168637;0.212111377;2.22844101;-0.488592634
#06;0.268541762;0.559497884;1.042817917;0.773036702;1.015189835;0.854168637;0.212111377;2.22844101;-0.488592634
#06;0.268541762;0.368572594;3.135541406;0.795452423;1.015189835;0.854168637;0.212111377;2.22844101;-0.488592634
#06;0.268541762;1.036811109;2.533712429;1.580002655;1.015189835;0.854168637;0.212111377;2.22844101;-0.488592634
#06;0.268541762;0.559497884;2.444805875;0.627334516;0.758789524;1.106068236;0.961135113;2.58507803;-0.488592634
#07;0.328217709;0.654960529;0.187947211;0.683373819;-0.745425629;-0.405329353;0.575274401;-0.149139117;0.22402719
#07;0.328217709;-0.729247823;1.282181715;-0.908142365;-0.745425629;-0.405329353;0.575274401;-0.149139117;0.22402719
#07;0.328217709;1.065449902;-0.290780385;1.165311818;-0.745425629;-0.405329353;0.575274401;-0.149139117;0.22402719
#07;0.328217709;-0.185110747;0.529895493;-0.246878599;-0.745425629;-0.405329353;0.575274401;-0.149139117;0.22402719
#07;0.328217709;-0.681516501;0.249497901;-0.77364804;-0.745425629;-0.405329353;0.575274401;-0.149139117;0.22402719
#07;0.328217709;0.034453336;-0.085611415;-0.03392925;-0.830892399;-0.321362821;0.568789347;0.088618896;0.22402719
#07;0.328217709;-0.872441791;-0.441237629;-0.941765947;-0.830892399;-0.321362821;0.568789347;0.088618896;0.22402719
#07;0.328217709;0.368572594;0.058006863;0.347138005;-0.830892399;-0.321362821;0.568789347;0.088618896;0.22402719
#07;0.328217709;-0.967904436;0.735064463;-1.109883854;-0.830892399;-0.321362821;0.568789347;0.088618896;0.22402719
#07;0.328217709;0.320841271;-0.427559698;0.347138005;-0.830892399;-0.321362821;0.568789347;0.088618896;0.22402719
#07;0.328217709;-0.442859888;-0.899448328;-0.437412227;-1.377879728;-0.209407444;0.649852522;-0.030260111;0.22402719
#08;0.387893656;6.000868648;-0.359170042;-0.964181668;-0.369371841;-1.049072771;0.364510146;0.445255915;-0.096011653
#08;0.387893656;0.941348464;-0.427559698;1.042025353;-0.369371841;-1.049072771;0.364510146;0.445255915;-0.096011653
#08;0.387893656;-0.681516501;-0.359170042;-0.740024459;-0.369371841;-1.049072771;0.364510146;0.445255915;-0.096011653
#08;0.387893656;-0.299665921;-0.748991084;-0.325333622;-0.369371841;-1.049072771;0.364510146;0.445255915;-0.096011653
#08;0.387893656;0.416303916;-0.461754526;0.515255912;-0.369371841;-1.049072771;0.364510146;0.445255915;-0.096011653
#08;0.387893656;0.129915981;-0.926804191;0.257475121;0.040868656;-1.468905435;0.043499974;0.207497902;-0.096011653
#08;0.387893656;-0.299665921;-0.509627286;-0.101176413;0.040868656;-1.468905435;0.043499974;0.207497902;-0.096011653
#08;0.387893656;-0.204203276;-0.256585557;-0.26929432;0.040868656;-1.468905435;0.043499974;0.207497902;-0.096011653
#08;0.387893656;-0.156471954;-0.632728668;-0.190839297;0.040868656;-1.468905435;0.043499974;0.207497902;-0.096011653
#08;0.387893656;0.464035239;-0.290780385;0.571295214;0.040868656;-1.468905435;0.043499974;0.207497902;-0.096011653
#08;0.387893656;0.511766561;-0.071933484;0.571295214;-0.779612337;-1.217005836;0.575274401;-0.030260111;-0.096011653
#09;0.447569603;-0.776979146;-0.564339011;-0.549490831;0.177615488;0.490313662;0.238051593;-0.149139117;1.397502948
#09;0.447569603;-0.108740631;-0.208712797;-1.199546737;0.177615488;0.490313662;0.238051593;-0.149139117;1.397502948
#09;0.447569603;-0.490591211;-0.769507981;-0.583114412;0.177615488;0.490313662;0.238051593;-0.149139117;1.397502948
#09;0.447569603;-0.538322533;-0.694279358;-0.661569436;0.177615488;0.490313662;0.238051593;-0.149139117;1.397502948
#09;0.447569603;0.177647304;-0.666923496;0.179020098;0.177615488;0.490313662;0.238051593;-0.149139117;1.397502948
#09;0.447569603;-0.729247823;-0.721635221;-0.661569436;-0.335185133;-0.853150861;0.692005373;-0.030260111;1.397502948
#09;0.447569603;1.132273754;-0.017221759;1.355845446;-0.335185133;-0.853150861;0.692005373;-0.030260111;1.397502948
#09;0.447569603;-0.557415062;-0.516466251;-0.381372924;-0.335185133;-0.853150861;0.692005373;-0.030260111;1.397502948
#09;0.447569603;-0.490591211;-0.701118324;-0.549490831;-0.335185133;-0.853150861;0.692005373;-0.030260111;1.397502948
#09;0.447569603;-0.920173113;-0.591694874;-1.03142883;-0.335185133;-0.853150861;0.692005373;-0.030260111;1.397502948
#09;0.447569603;-1.015635758;-0.147162106;-1.109883854;-0.711238921;-0.853150861;0.692005373;-0.030260111;1.397502948
#10;0.50724555;-0.681516501;-1.241396611;-0.549490831;-0.471931965;0.966124014;0.607699671;0.207497902;1.397502948
#10;0.50724555;-0.013277986;-0.906287294;-0.011513529;-0.471931965;0.966124014;0.636882414;-0.268018123;1.397502948
#10;0.50724555;0.129915981;-0.085611415;0.179020098;-0.471931965;0.966124014;0.636882414;-0.268018123;1.397502948
#10;0.50724555;-1.063367081;-0.427559698;-0.997805249;-0.471931965;0.966124014;0.636882414;-0.268018123;1.397502948
#10;0.50724555;0.989079786;-0.619050736;1.109272516;-0.471931965;0.966124014;0.636882414;-0.268018123;1.397502948
#10;0.50724555;-0.872441791;-0.954160053;-0.885726645;-0.061691469;0.966124014;0.312629714;-0.38689713;1.397502948
#10;0.50724555;-0.490591211;-1.015710744;-0.661569436;-0.061691469;0.966124014;0.312629714;-0.38689713;1.397502948
#10;0.50724555;-1.158829726;-0.270263488;-1.053844551;-0.061691469;0.966124014;0.312629714;-0.38689713;1.397502948
#10;0.50724555;-1.206561048;-0.386525904;-1.165923156;-0.061691469;0.966124014;0.312629714;-0.38689713;1.397502948
#10;0.50724555;-0.681516501;-0.543822114;-0.325333622;-0.061691469;0.966124014;0.312629714;-0.38689713;1.397502948
#10;0.50724555;-0.013277986;-0.605372805;0.179020098;0.263082258;0.994112859;0.383965308;-0.38689713;1.397502948
#11;0.566921497;-0.586053856;-0.721635221;-0.605530133;0.74169617;1.050090547;0.332084876;-0.268018123;0.22402719
#11;0.566921497;-0.681516501;-0.97467695;-0.77364804;0.74169617;1.050090547;0.332084876;-0.268018123;0.22402719
#11;0.566921497;0.177647304;-1.207201782;0.201435819;0.74169617;1.050090547;0.332084876;-0.268018123;0.22402719
#11;0.566921497;-0.490591211;-1.077261435;-0.605530133;0.74169617;1.050090547;0.332084876;-0.268018123;0.22402719
#11;0.566921497;-0.204203276;-1.241396611;-0.26929432;0.74169617;1.050090547;0.332084876;-0.268018123;0.22402719
#11;0.566921497;-0.776979146;-1.043066607;-0.829687342;0.22889555;1.022101703;0.484483645;-0.030260111;0.22402719
#11;0.566921497;-1.063367081;-0.571177977;-1.076260272;0.22889555;1.022101703;0.484483645;-0.030260111;0.22402719
#11;0.566921497;-0.586053856;-0.536983148;-0.661569436;0.22889555;1.022101703;0.484483645;-0.030260111;0.22402719
#11;0.566921497;-0.776979146;-0.653245565;-0.885726645;0.22889555;1.022101703;0.484483645;-0.030260111;0.22402719
#11;0.566921497;-0.843802997;-0.632728668;-1.042636691;0.22889555;1.022101703;0.484483645;-0.030260111;0.22402719
#11;0.566921497;-1.063367081;-0.160840038;-1.053844551;-0.830892399;0.994112859;0.199141269;-0.149139117;0.22402719
